group,game,team_a,team_b,elo_a,elo_b,delta_elo,delta_eff,k_att_a,k_def_a,k_att_b,k_def_b,lambda_base_a,lambda_base_b,lambda_a,lambda_b,rho,p_win_a,p_draw,p_win_b,expected_goals_a,expected_goals_b,P_0_0,P_0_1,P_0_2,P_0_3,P_0_4,P_0_5,P_0_6,P_0_7,P_1_0,P_1_1,P_1_2,P_1_3,P_1_4,P_1_5,P_1_6,P_1_7,P_2_0,P_2_1,P_2_2,P_2_3,P_2_4,P_2_5,P_2_6,P_2_7,P_3_0,P_3_1,P_3_2,P_3_3,P_3_4,P_3_5,P_3_6,P_3_7,P_4_0,P_4_1,P_4_2,P_4_3,P_4_4,P_4_5,P_4_6,P_4_7,P_5_0,P_5_1,P_5_2,P_5_3,P_5_4,P_5_5,P_5_6,P_5_7,P_6_0,P_6_1,P_6_2,P_6_3,P_6_4,P_6_5,P_6_6,P_6_7,P_7_0,P_7_1,P_7_2,P_7_3,P_7_4,P_7_5,P_7_6,P_7_7
D,19,United States,Paraguay,1822.6,1893.3,-70.7,29.3,1.0902,1.0376,0.9595,0.9338,1.3514,1.1962,1.3756,1.1909,0.1135,42.75,23.6,33.65,1.376,1.191,6.251,10.38,5.445,2.162,0.644,0.153,0.03,0.005,12.212,11.152,7.491,2.974,0.885,0.211,0.042,0.007,7.265,8.653,5.152,2.045,0.609,0.145,0.029,0.005,3.332,3.968,2.363,0.938,0.279,0.067,0.013,0.002,1.146,1.364,0.813,0.323,0.096,0.023,0.005,0.001,0.315,0.375,0.224,0.089,0.026,0.006,0.001,0.0,0.072,0.086,0.051,0.02,0.006,0.001,0.0,0.0,0.014,0.017,0.01,0.004,0.001,0.0,0.0,0.0
D,20,United States,Australia,1822.6,1875.5,-52.8,47.2,1.0902,1.0376,0.9684,0.9578,1.4012,1.1517,1.463,1.1573,0.1106,45.84,23.17,30.99,1.463,1.157,5.912,9.495,4.871,1.879,0.544,0.126,0.024,0.004,12.364,10.954,7.126,2.749,0.795,0.184,0.036,0.006,7.785,9.009,5.213,2.011,0.582,0.135,0.026,0.004,3.796,4.393,2.542,0.981,0.284,0.066,0.013,0.002,1.388,1.607,0.93,0.359,0.104,0.024,0.005,0.001,0.406,0.47,0.272,0.105,0.03,0.007,0.001,0.0,0.099,0.115,0.066,0.026,0.007,0.002,0.0,0.0,0.021,0.024,0.014,0.005,0.002,0.0,0.0,0.0
D,21,United States,Turkey,1822.6,1932.9,-110.2,-10.2,1.0902,1.0376,0.9784,1.0033,1.2453,1.2993,1.3621,1.3191,0.1165,39.51,23.05,37.43,1.362,1.319,5.416,10.423,5.959,2.62,0.864,0.228,0.05,0.009,10.81,10.873,8.116,3.569,1.177,0.31,0.068,0.013,6.354,8.381,5.528,2.43,0.801,0.211,0.046,0.009,2.885,3.805,2.51,1.103,0.364,0.096,0.021,0.004,0.982,1.296,0.855,0.376,0.124,0.033,0.007,0.001,0.268,0.353,0.233,0.102,0.034,0.009,0.002,0.0,0.061,0.08,0.053,0.023,0.008,0.002,0.0,0.0,0.012,0.016,0.01,0.005,0.001,0.0,0.0,0.0
D,22,Paraguay,Australia,1893.3,1875.5,17.8,17.8,0.9595,0.9338,0.9684,0.9578,1.3199,1.2256,1.213,1.1083,0.1153,40.15,25.12,34.73,1.213,1.108,8.293,12.267,6.028,2.227,0.617,0.137,0.025,0.004,13.569,11.673,7.311,2.701,0.748,0.166,0.031,0.005,7.22,8.002,4.434,1.638,0.454,0.101,0.019,0.003,2.919,3.235,1.793,0.662,0.184,0.041,0.008,0.001,0.885,0.981,0.544,0.201,0.056,0.012,0.002,0.0,0.215,0.238,0.132,0.049,0.014,0.003,0.001,0.0,0.043,0.048,0.027,0.01,0.003,0.001,0.0,0.0,0.008,0.008,0.005,0.002,0.0,0.0,0.0,0.0
D,23,Paraguay,Turkey,1893.3,1932.9,-39.6,-39.6,0.9595,0.9338,0.9784,1.0033,1.1706,1.3798,1.1269,1.2606,0.1118,34.22,24.75,41.03,1.127,1.261,7.726,13.21,7.298,3.066,0.966,0.244,0.051,0.009,11.655,11.589,8.224,3.456,1.089,0.275,0.058,0.01,5.832,7.352,4.634,1.947,0.614,0.155,0.033,0.006,2.191,2.762,1.741,0.731,0.23,0.058,0.012,0.002,0.617,0.778,0.49,0.206,0.065,0.016,0.003,0.001,0.139,0.175,0.111,0.046,0.015,0.004,0.001,0.0,0.026,0.033,0.021,0.009,0.003,0.001,0.0,0.0,0.004,0.005,0.003,0.001,0.0,0.0,0.0,0.0
D,24,Australia,Turkey,1875.5,1932.9,-57.4,-57.4,0.9684,0.9578,0.9784,1.0033,1.1267,1.4303,1.0948,1.3403,0.1089,31.64,24.36,44.0,1.095,1.34,7.356,13.446,7.863,3.513,1.177,0.316,0.07,0.013,10.727,11.447,8.609,3.846,1.289,0.345,0.077,0.015,5.247,7.032,4.713,2.105,0.705,0.189,0.042,0.008,1.915,2.566,1.72,0.768,0.257,0.069,0.015,0.003,0.524,0.702,0.471,0.21,0.07,0.019,0.004,0.001,0.115,0.154,0.103,0.046,0.015,0.004,0.001,0.0,0.021,0.028,0.019,0.008,0.003,0.001,0.0,0.0,0.003,0.004,0.003,0.001,0.0,0.0,0.0,0.0
E,25,Germany,Curaçao,1987.8,1579.5,408.2,408.2,1.027,1.0482,1.0261,1.0227,2.6717,0.4898,2.8061,0.5268,0.039,84.62,10.75,4.63,2.806,0.527,3.367,1.921,0.496,0.087,0.011,0.001,0.0,0.0,11.123,5.075,1.391,0.244,0.032,0.003,0.0,0.0,14.066,7.41,1.952,0.343,0.045,0.005,0.0,0.0,13.157,6.931,1.825,0.321,0.042,0.004,0.0,0.0,9.229,4.862,1.281,0.225,0.03,0.003,0.0,0.0,5.18,2.729,0.719,0.126,0.017,0.002,0.0,0.0,2.422,1.276,0.336,0.059,0.008,0.001,0.0,0.0,0.971,0.512,0.135,0.024,0.003,0.0,0.0,0.0
E,26,Germany,Ivory Coast,1987.8,1798.1,189.7,189.7,1.027,1.0482,0.9471,0.9238,1.844,0.8383,1.7494,0.8322,0.0852,60.77,21.32,17.91,1.749,0.832,6.594,6.709,2.607,0.723,0.15,0.025,0.003,0.0,15.131,10.026,4.56,1.265,0.263,0.044,0.006,0.001,11.519,9.586,3.989,1.107,0.23,0.038,0.005,0.001,6.717,5.59,2.326,0.645,0.134,0.022,0.003,0.0,2.938,2.445,1.017,0.282,0.059,0.01,0.001,0.0,1.028,0.855,0.356,0.099,0.021,0.003,0.0,0.0,0.3,0.249,0.104,0.029,0.006,0.001,0.0,0.0,0.075,0.062,0.026,0.007,0.001,0.0,0.0,0.0
E,27,Germany,Ecuador,1987.8,2002.3,-14.5,-14.5,1.027,1.0482,0.9112,0.8727,1.2341,1.3109,1.106,1.2521,0.1158,33.84,24.82,41.34,1.106,1.252,7.942,13.56,7.414,3.094,0.969,0.243,0.051,0.009,11.801,11.581,8.2,3.422,1.071,0.268,0.056,0.01,5.785,7.244,4.535,1.893,0.592,0.148,0.031,0.006,2.133,2.671,1.672,0.698,0.218,0.055,0.011,0.002,0.59,0.738,0.462,0.193,0.06,0.015,0.003,0.001,0.13,0.163,0.102,0.043,0.013,0.003,0.001,0.0,0.024,0.03,0.019,0.008,0.002,0.001,0.0,0.0,0.004,0.005,0.003,0.001,0.0,0.0,0.0,0.0
E,28,Curaçao,Ivory Coast,1579.5,1798.1,-218.5,-218.5,1.0261,1.0227,0.9471,0.9238,0.7836,1.9432,0.7428,1.8823,0.0795,14.29,19.77,65.94,0.743,1.882,6.395,15.57,12.746,7.997,3.763,1.417,0.444,0.12,5.66,9.26,9.468,5.94,2.795,1.052,0.33,0.089,1.985,3.736,3.516,2.206,1.038,0.391,0.123,0.033,0.491,0.925,0.871,0.546,0.257,0.097,0.03,0.008,0.091,0.172,0.162,0.101,0.048,0.018,0.006,0.002,0.014,0.026,0.024,0.015,0.007,0.003,0.001,0.0,0.002,0.003,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,29,Curaçao,Ecuador,1579.5,2002.3,-422.8,-422.8,1.0261,1.0227,0.9112,0.8727,0.4715,2.7324,0.4222,2.5463,0.0357,4.32,11.9,83.78,0.422,2.546,4.923,14.222,16.597,14.087,8.967,4.567,1.938,0.705,2.194,5.308,7.008,5.948,3.786,1.928,0.818,0.298,0.456,1.162,1.48,1.256,0.799,0.407,0.173,0.063,0.064,0.164,0.208,0.177,0.113,0.057,0.024,0.009,0.007,0.017,0.022,0.019,0.012,0.006,0.003,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,30,Ivory Coast,Ecuador,1798.1,2002.3,-204.2,-204.2,0.9471,0.9238,0.9112,0.8727,0.8104,1.8935,0.6698,1.5939,0.0823,15.76,22.85,61.4,0.67,1.594,9.417,18.615,13.114,6.967,2.776,0.885,0.235,0.054,7.296,10.114,8.783,4.667,1.859,0.593,0.157,0.036,2.316,3.691,2.942,1.563,0.623,0.199,0.053,0.012,0.517,0.824,0.657,0.349,0.139,0.044,0.012,0.003,0.087,0.138,0.11,0.058,0.023,0.007,0.002,0.0,0.012,0.018,0.015,0.008,0.003,0.001,0.0,0.0,0.001,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,31,Netherlands,Japan,1989.7,1985.1,4.6,4.6,0.9937,1.0299,0.959,0.961,1.2843,1.2601,1.2265,1.2444,0.1173,37.47,24.16,38.37,1.226,1.244,6.938,12.053,6.544,2.715,0.845,0.21,0.044,0.008,11.857,11.386,8.026,3.329,1.036,0.258,0.053,0.01,6.357,7.91,4.922,2.042,0.635,0.158,0.033,0.006,2.599,3.234,2.012,0.835,0.26,0.065,0.013,0.002,0.797,0.992,0.617,0.256,0.08,0.02,0.004,0.001,0.195,0.243,0.151,0.063,0.02,0.005,0.001,0.0,0.04,0.05,0.031,0.013,0.004,0.001,0.0,0.0,0.007,0.009,0.005,0.002,0.001,0.0,0.0,0.0
F,32,Netherlands,Sweden,1989.7,1776.1,213.6,213.6,0.9937,1.0299,1.0744,1.0875,1.926,0.7927,2.0813,0.8771,0.0805,66.56,18.36,15.08,2.081,0.877,4.407,4.851,1.987,0.581,0.127,0.022,0.003,0.0,12.554,8.672,4.136,1.209,0.265,0.047,0.007,0.001,11.189,9.814,4.304,1.258,0.276,0.048,0.007,0.001,7.762,6.809,2.986,0.873,0.191,0.034,0.005,0.001,4.039,3.543,1.554,0.454,0.1,0.017,0.003,0.0,1.681,1.475,0.647,0.189,0.041,0.007,0.001,0.0,0.583,0.512,0.224,0.066,0.014,0.003,0.0,0.0,0.173,0.152,0.067,0.02,0.004,0.001,0.0,0.0
F,33,Netherlands,Tunisia,1989.7,1757.0,232.7,232.7,0.9937,1.0299,0.9716,0.9573,1.993,0.7579,1.8958,0.7583,0.0767,65.76,19.75,14.49,1.896,0.758,6.221,5.611,2.011,0.508,0.096,0.015,0.002,0.0,15.184,9.282,3.812,0.964,0.183,0.028,0.004,0.0,12.566,9.529,3.613,0.913,0.173,0.026,0.003,0.0,7.941,6.022,2.283,0.577,0.109,0.017,0.002,0.0,3.763,2.854,1.082,0.274,0.052,0.008,0.001,0.0,1.427,1.082,0.41,0.104,0.02,0.003,0.0,0.0,0.451,0.342,0.13,0.033,0.006,0.001,0.0,0.0,0.122,0.093,0.035,0.009,0.002,0.0,0.0,0.0
F,34,Japan,Sweden,1985.1,1776.1,209.0,209.0,0.959,0.961,1.0744,1.0875,1.9101,0.8013,1.9919,0.8274,0.0814,66.05,18.96,14.98,1.992,0.827,5.136,5.239,2.03,0.56,0.116,0.019,0.003,0.0,13.732,8.981,4.044,1.115,0.231,0.038,0.005,0.001,11.769,9.737,4.028,1.111,0.23,0.038,0.005,0.001,7.814,6.465,2.674,0.738,0.153,0.025,0.003,0.0,3.891,3.22,1.332,0.367,0.076,0.013,0.002,0.0,1.55,1.283,0.531,0.146,0.03,0.005,0.001,0.0,0.515,0.426,0.176,0.049,0.01,0.002,0.0,0.0,0.146,0.121,0.05,0.014,0.003,0.0,0.0,0.0
F,35,Japan,Tunisia,1985.1,1757.0,228.1,228.1,0.959,0.961,0.9716,0.9573,1.9767,0.7661,1.8146,0.7154,0.0776,65.18,20.44,14.38,1.815,0.715,7.114,5.974,2.024,0.483,0.086,0.012,0.001,0.0,16.378,9.473,3.674,0.876,0.157,0.022,0.003,0.0,13.025,9.318,3.333,0.795,0.142,0.02,0.002,0.0,7.879,5.636,2.016,0.481,0.086,0.012,0.001,0.0,3.574,2.557,0.915,0.218,0.039,0.006,0.001,0.0,1.297,0.928,0.332,0.079,0.014,0.002,0.0,0.0,0.392,0.281,0.1,0.024,0.004,0.001,0.0,0.0,0.102,0.073,0.026,0.006,0.001,0.0,0.0,0.0
F,36,Sweden,Tunisia,1776.1,1757.0,19.1,19.1,1.0744,1.0875,0.9716,0.9573,1.3232,1.2225,1.3609,1.2917,0.1151,40.07,23.22,36.71,1.361,1.292,5.622,10.457,5.879,2.531,0.817,0.211,0.045,0.008,11.094,10.963,8.001,3.445,1.112,0.287,0.062,0.011,6.526,8.43,5.444,2.344,0.757,0.196,0.042,0.008,2.96,3.824,2.47,1.063,0.343,0.089,0.019,0.004,1.007,1.301,0.84,0.362,0.117,0.03,0.006,0.001,0.274,0.354,0.229,0.098,0.032,0.008,0.002,0.0,0.062,0.08,0.052,0.022,0.007,0.002,0.0,0.0,0.012,0.016,0.01,0.004,0.001,0.0,0.0,0.0
