Team,Group,ELO,K_att,K_def,lambda_atk_ref,lambda_def_ref,P_champion,IC_95,P_final,P_semis,P_quarters,P_r16,P_r32,Host
Czech Republic,A,1782.2,0.9684,1.0287,1.2312,1.3079,0.02,0.0,0.13,0.76,4.24,17.46,61.21,False
Sweden,F,1783.3,1.081,1.0661,1.3743,1.3554,0.02,0.0,0.11,0.63,3.17,11.46,46.39,False
Tunisia,F,1762.4,0.9586,0.9584,1.2187,1.2184,0.01,0.0,0.07,0.43,2.38,9.34,40.8,False
DR Congo,K,1749.5,0.9178,0.9514,1.1669,1.2095,0.01,0.0,0.04,0.25,1.46,7.18,29.68,False
Jordan,J,1762.9,1.0602,1.0104,1.3479,1.2846,0.01,0.0,0.07,0.4,1.89,7.13,36.89,False
New Zealand,G,1730.5,1.1617,0.9868,1.477,1.2546,0.01,0.0,0.1,0.57,3.38,14.76,50.13,False
Qatar,B,1553.5,1.0134,1.0851,1.2885,1.3796,0.0,0.0,0.0,0.0,0.09,1.23,15.43,False
Haiti,C,1675.8,1.0491,1.0137,1.3338,1.2888,0.0,0.0,0.01,0.08,0.69,3.78,23.92,False
South Africa,A,1644.7,0.9906,0.9931,1.2595,1.2626,0.0,0.0,0.01,0.05,0.56,4.13,26.35,False
Bosnia and Herzegovina,B,1651.3,0.9944,0.9679,1.2642,1.2306,0.0,0.0,0.01,0.12,1.2,8.29,47.48,False
Curaçao,E,1586.0,1.0203,1.0161,1.2972,1.2919,0.0,0.0,0.0,0.01,0.12,1.23,12.89,False
Saudi Arabia,H,1669.8,0.9756,0.9583,1.2404,1.2184,0.0,0.0,0.01,0.08,0.75,4.13,30.98,False
Cape Verde,H,1662.1,0.9653,0.9654,1.2273,1.2274,0.0,0.0,0.01,0.06,0.59,3.49,28.05,False
Iraq,I,1723.7,0.9319,0.9711,1.1848,1.2346,0.0,0.0,0.01,0.12,0.83,4.34,20.82,False
Ghana,L,1626.0,1.0242,0.9909,1.3022,1.2598,0.0,0.0,0.0,0.02,0.24,2.07,16.37,False
