epoch,loss_train,nll_train,loss_val,nll_val,lr
120,2.610854,2.602728,2.596992,2.592597,1.25e-05
121,2.61075,2.602582,2.597018,2.592587,1.25e-05
122,2.61026,2.602087,2.59694,2.592574,1.25e-05
123,2.610754,2.60253,2.596936,2.592534,1.25e-05
124,2.611455,2.60327,2.596942,2.592575,1.25e-05
125,2.611527,2.603372,2.596892,2.592521,1.25e-05
126,2.610325,2.602164,2.596863,2.592526,1.25e-05
127,2.610275,2.602108,2.597022,2.592606,6.25e-06
128,2.610693,2.602556,2.597018,2.592606,6.25e-06
129,2.610541,2.602398,2.596973,2.592592,6.25e-06
130,2.611206,2.602972,2.597008,2.592614,6.25e-06
131,2.610768,2.602587,2.596969,2.592592,6.25e-06
132,2.61091,2.602707,2.596947,2.592574,6.25e-06
133,2.610255,2.60205,2.59695,2.59258,6.25e-06
134,2.61087,2.60269,2.596998,2.592593,6.25e-06
135,2.611554,2.603399,2.596956,2.592573,6.25e-06
136,2.610383,2.602237,2.596974,2.592592,6.25e-06
137,2.610752,2.602596,2.596966,2.592582,6.25e-06
138,2.61029,2.602033,2.597,2.592586,6.25e-06
139,2.610524,2.602334,2.596909,2.592568,6.25e-06
140,2.610368,2.602253,2.596928,2.592556,3.125e-06
141,2.609856,2.60169,2.596941,2.592563,3.125e-06
142,2.610505,2.60236,2.596919,2.592563,3.125e-06
143,2.6103,2.60212,2.596947,2.592562,3.125e-06
144,2.611079,2.602903,2.596943,2.592561,3.125e-06
145,2.610482,2.602249,2.596952,2.59257,3.125e-06
146,2.609624,2.601473,2.596942,2.592562,3.125e-06
147,2.610303,2.602129,2.596962,2.592569,3.125e-06
148,2.611243,2.603028,2.596961,2.592566,3.125e-06
149,2.609975,2.6018,2.596967,2.59257,3.125e-06
150,2.610082,2.601858,2.596961,2.592556,3.125e-06
