Team,Group,ELO,K_att,K_def,lambda_atk_ref,lambda_def_ref,P_champion,IC_95,P_final,P_semis,P_quarters,P_r16,P_r32,Host
Turkey,D,1928.4,0.9553,1.044,1.2146,1.3273,0.47,0.13,1.59,4.49,12.27,31.57,68.18,False
Senegal,I,1921.9,0.9328,1.0083,1.186,1.282,0.43,0.13,1.47,4.88,12.65,32.31,70.87,False
Iran,G,1879.9,0.9607,0.9298,1.2214,1.1821,0.39,0.12,1.34,4.49,12.04,35.51,77.33,False
Austria,J,1887.9,0.9599,1.0062,1.2203,1.2792,0.19,0.09,0.83,3.48,10.42,27.73,65.98,False
South Korea,A,1861.7,0.9494,1.0126,1.207,1.2874,0.17,0.08,0.71,2.36,7.54,25.09,79.59,False
Algeria,J,1860.8,0.9495,0.9882,1.2071,1.2564,0.15,0.08,0.65,2.34,7.66,23.14,59.97,False
Australia,D,1886.4,0.9651,0.9823,1.227,1.2489,0.13,0.07,0.76,2.84,9.05,26.12,61.86,False
Panama,L,1824.7,0.9388,0.9902,1.1936,1.2589,0.09,0.06,0.37,1.35,5.23,20.02,64.71,False
Ivory Coast,E,1798.0,0.9354,0.9199,1.1893,1.1695,0.06,0.05,0.29,1.57,7.03,22.1,70.24,False
Scotland,C,1790.7,1.0059,0.9358,1.2789,1.1897,0.05,0.04,0.35,1.37,5.58,17.37,62.04,False
Tunisia,F,1762.4,0.9483,0.9381,1.2057,1.1926,0.04,0.04,0.09,0.58,3.03,12.63,44.21,False
Uzbekistan,K,1817.6,0.9143,0.9268,1.1624,1.1783,0.04,0.04,0.27,1.4,4.96,17.35,50.07,False
Egypt,G,1791.1,0.9118,0.9126,1.1593,1.1602,0.03,0.03,0.22,1.19,4.35,17.15,55.87,False
DR Congo,K,1749.5,0.8932,0.9141,1.1356,1.1622,0.01,0.02,0.06,0.32,1.86,8.22,31.94,False
Sweden,F,1783.3,1.0708,1.1207,1.3614,1.4248,0.01,0.02,0.12,0.61,3.14,12.75,44.25,False
Czech Republic,A,1782.2,0.9646,1.0513,1.2263,1.3366,0.01,0.02,0.13,0.68,2.8,13.35,60.51,False
Jordan,J,1762.9,1.0678,0.9743,1.3576,1.2387,0.01,0.02,0.1,0.73,2.86,11.41,40.37,False
New Zealand,G,1730.5,1.1272,0.9698,1.4331,1.233,0.01,0.02,0.09,0.67,2.7,12.82,46.44,False
Qatar,B,1553.5,1.0161,1.0482,1.2918,1.3327,0.0,0.0,0.0,0.0,0.03,1.2,19.49,False
Haiti,C,1675.8,1.0199,1.0423,1.2967,1.3252,0.0,0.0,0.0,0.03,0.47,3.07,22.92,False
South Africa,A,1644.7,0.9807,1.019,1.2468,1.2955,0.0,0.0,0.0,0.05,0.42,3.27,27.37,False
Bosnia and Herzegovina,B,1651.3,1.0057,0.942,1.2786,1.1977,0.0,0.0,0.01,0.11,0.87,6.96,50.97,False
Curaçao,E,1586.0,1.0225,1.1188,1.3,1.4224,0.0,0.0,0.0,0.01,0.07,1.0,12.17,False
Saudi Arabia,H,1669.8,0.9715,0.9632,1.2351,1.2246,0.0,0.0,0.01,0.17,0.9,6.02,35.89,False
Cape Verde,H,1662.1,0.9393,0.9537,1.1943,1.2126,0.0,0.0,0.01,0.09,0.77,5.35,33.56,False
Iraq,I,1723.7,0.9068,0.9525,1.1528,1.2109,0.0,0.0,0.02,0.15,1.03,4.82,22.9,False
Ghana,L,1626.0,1.0344,1.0005,1.3151,1.272,0.0,0.0,0.0,0.05,0.35,2.54,18.36,False
